year,name,yob,district,list_state,list_position,occupation,birthplace,party_wiki_id,party_name_short,party_name_full
2002,"Aae, Christian",1969,NA,HH,4,NA,NA,Q156019,NPD,Nationaldemokratische Partei Deutschlands
2002,"Achenbach, Rolf",1953,NA,NW,15,NA,NA,Q269316,REP,Die Republikaner
2002,"Achminow, Alexander",1960,154,SN,9,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Ackermann, Thomas",1967,NA,HE,21,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Adam, Ulrich",1950,16,MV,2,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Adam, Ulrich",1963,263,BW,29,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Adam, Yousef",1949,NA,HE,5,NA,NA,Q897197,BüSo,Bürgerrechtsbewegung Solidarität
2002,"Addicks, Dr. Karl",1950,NA,SL,3,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Ade, Stefan",1967,NA,BW,4,NA,NA,Q492561,Tierschutz,Tierschutzpartei
2002,"Adler, Brigitte",1944,277,BW,29,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Adler, Hans-Henning",1949,NA,NI,8,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Adler, Ulrich Gerhard",1953,134,NA,NA,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Adophi, Bodo Theodor",1939,NA,HH,4,NA,NA,Q457217,Schill,Schill-Partei
2002,"Aggelidis, Michael Georg",1962,NA,NW,6,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Agurks, Ulrich",1947,NA,HE,24,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Ahe von der, Benjamin Moritz",1976,26,NI,12,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Ahlfeld, Matthias",1974,68,NA,NA,NA,NA,Q156019,NPD,Nationaldemokratische Partei Deutschlands
2002,"Ahrons, Barbara",1944,21,HH,6,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Aichele, Friedrich",1963,266,NA,NA,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Aigner, Ilse",1964,225,NA,NA,NA,NA,Q49763,CSU,Christlich-Soziale Union in Bayern e.V.
2002,"Akbayir, Hamide",1959,102,NW,7,NA,NA,Q152554,PDS,Partei des Demokratischen Sozialismus
2002,"Akgün, Dr. Lale",1953,95,NW,10,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Akkermann, Ingeborg Anna",1946,NA,SH,5,NA,NA,Q269316,REP,Die Republikaner
2002,"Akroud, Alexandra",1961,NA,SL,34,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Albert, Christel",1950,NA,SL,17,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Albowitz, Ina",1943,100,NA,NA,NA,NA,Q13124,FDP,Freie Demokratische Partei
2002,"Albrecht, Jan",1982,NA,NI,10,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Albrecht, Richard Hermann",1963,258,BY,11,NA,NA,Q897197,BüSo,Bürgerrechtsbewegung Solidarität
2002,"Albrecht, Ronald",1966,75,NA,NA,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Allendorf, Katja",1978,NA,HE,24,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Alt, Dr. Helmut",1946,NA,HE,9,NA,NA,Q457217,Schill,Schill-Partei
2002,"Altenhauser, Peter",1960,NA,BY,33,NA,NA,Q269316,REP,Die Republikaner
2002,"Altherr, Dr. Walter",1946,212,RP,14,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Althoff, Guntram",1965,179,NA,NA,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Altmaier, Peter",1958,297,SL,1,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Altmayer, Dr. Michael",1967,NA,SL,20,NA,NA,Q49768,SPD,Sozialdemokratische Partei Deutschlands
2002,"Altmeyer, Daniela",1980,NA,SL,25,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
2002,"Altvater, Walter",1952,210,RP,4,NA,NA,Q49766,GRÜNE,BÜNDNIS 90/DIE GRÜNEN
2002,"Amara, Ibtisam Alexandra",1983,NA,NI,34,NA,NA,Q49762,CDU,Christlich Demokratische Union Deutschlands
