party_wiki_id;party_name_short;party_name_full;party_name_alt1;party_name_alt2;party_name_alt3
Q238390;5%-BLOCK;5%-Block;;;
Q241346;50Plus;50Plus Das Generationen-Bündnis;;;
Q2054241;AB 2000;Partei der Alternativen Bürgerbewegung 2000 Deutschlands;;;
Q31837153;AD-DEMOKRATEN;Allianz Deutscher Demokraten;;;
Q422344;ADF;Aktion Demokratischer Fortschritt;;;
Q2649134;ADM;Allianz der Mitte;;;
Q6721203;AfD;Alternative für Deutschland;;;
Q2649141;AGFG;Allianz für Gesundheit, Frieden und soziale Gerechtigkeit;;;
;Anderer KWV;;Andere KWV;;
Q786692;APD;Autofahrer- und Bürgerinteressenpartei Deutschlands;;;
Q486312;APPD;Anarchistische Pogo-Partei Deutschlands;;;
Q2648156;ASD;Alle Sozialversicherten und Rentner Deutschlands;A S D;;
Q422605;AUD;Aktionsgemeinschaft Unabhängiger Deutscher;;;
Q759555;AUFBRUCH;Aufbruch für Bürgerrechte, Freiheit und Gesundheit;;;
Q422607;AVP;Aktionsgemeinschaft Vierte Partei;;;
Q820091;B*;bergpartei, die überpartei;B;;
Q1005170;BdD;Bund der Deutschen;;;
Q1005270;BFB;Bund freier Bürger;;;
Q1005283;BGD;Bund für Gesamtdeutschland;;;
Q31837192;BGE;Bündnis Grundeinkommen;;;
Q1020875;BIG;Bündnis für Innovation und Gerechtigkeit;;;
Q255857;BP;Bayernpartei;B P;;
Q1211844;BUERGERP;Die Bürgerpartei;;;
Q19836118;Bündnis C;Bündnis C - Christen für Deutschland;;;
Q897197;BüSo;Bürgerrechtsbewegung Solidarität;;;
Q1005139;BWK;Bund Westdeutscher Kommunisten;B W K;;
Q1084004;CBV;Christliche Bayerische Volkspartei;C.B.V.;;
Q49762;CDU;Christlich Demokratische Union Deutschlands;C D U;;
Q1061626;CHANCE 2000;Chance 2000;;;
Q896165;CM;Christliche Mitte;;;
Q49763;CSU;Christlich-Soziale Union in Bayern e.V.;C S U;;
Q1084102;CVP;Christliche Volkspartei;;;
;DDD;Bund der Deutschen Demokraten;;;
;DEMOKRATEN;Die Demokraten;;;
;DFP;Deutschen Freiheitspartei;D F P;;
Q1202552;DFU;Deutsche Friedensunion;;;
Q1202787;DG;Deutsche Gemeinschaft;;;
Q31841142;DiB;DEMOKRATIE IN BEWEGUNG;;;
Q23786692;DIE EINHEIT;Die Einheit;;;
Q321615;DIE FRAUEN;Feministische Partei DIE FRAUEN;Frauen;FRAUEN;DIE DIE FRAUEN
Q34065989;Die Grauen;Die Grauen – Für alle Generationen;DIE GRAUEN;GRAUE;
Q39528463;Die Humanisten;Partei der Humanisten;;;
Q49764;Die Linke.;Die Linke.;DIE LINKE;;
Q22748;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;
Q3027329;DIE RECHTE;DIE RECHTE – Partei für Volksabstimmung, Souveränität und Heimatschutz;;;
Q148861;DKP;Deutsche Kommunistische Partei;D K P;;
Q32860410;DM;Deutsche Mitte;;;
Q1214847;DMP;Die MittelstandsPartei – Die bürgerliche Mitte;;;
Q1156839;DNS;Dachverband der Nationalen Sammlung;;;
Q674695;DP;Deutsche Partei;;;
Q1186258;DPD;Demokratische Partei Deutschlands;;;
Q495497;DRP;Deutsche Reichspartei;;;
Q560536;DSU;Deutsche Soziale Union;;;
Q1204332;DU;Deutsche Union;D U;;
Q39528824;du.;Die Urbane. Eine HipHop Partei;;;
;DV;Deutsche Volkspartei;;;
;DVP;Deutsche Volkspartei;;;
Q505829;DVU;Deutsche Volksunion;;;
Q1377201;EAP;Europäische Arbeiterpartei;E A P;;
Q1346588;EFP;Europäische Föderalistische Partei;EP;;
;Einzelbewerber;;;;
Q453366;FAMILIE;Familien-Partei Deutschlands;;;
Q882551;FAP;Freiheitliche Arbeiterpartei;F A P;;
Q1439667;FBU;Freie Bürger Union;;;
Q13124;FDP;Freie Demokratische Partei;F.D.P.;;
Q646129;FORUM;Neues Forum;;;
Q1454293;FP Deutschl.;Freiheitliche Partei Deutschlands;;;
Q1349989;Freie Union;Freie Union;;;
Q1636736;FSU;Freisoziale Union;F S U;;
Q1479686;FU;Föderalistische Union;;;
Q327389;FWD;FREIE WÄHLER;;;
Q27926499;Gartenpartei;Magdeburger Gartenpartei;MG;;
Q707844;GB/BHE;Gesamtdeutsche Block/Bund der Heimatvertriebenen und Entrechteten;;;
Q26271103;Gesundheitsforschung;Partei für Gesundheitsforschung;;;
Q317140;GIM;Gruppe Internationale Marxisten;;;
Q1516101;GPD;Gesamtdeutsche Partei;GDP;;
Q49766;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;GRUENE;B90/Gr;
;Gültige;;;;
Q451497;GVP;Gesamtdeutsche Volkspartei;;;
Q27478498;HP;Humanistische Partei;H P;;
Q1636736;HUMANWIRTSCHAFTSPARTEI;Humanwirtschaftspartei;HUMANWIRTSCHAFTS- PARTEI;;
Q1412555;KBW;Kommunistischer Bund Westdeutschland;K B* W;;
Q148861;KPD;Deutsche Kommunistische Partei;K P D;;
Q1553322;LD;Liberale Demokraten;;;
Q1084052;LIGA;Christliche Liga – Die Partei für das Leben;;;
Q26271094;Menschliche Welt;Menschliche Welt;MENSCHLICHE WELT;;
Q26254917;Mieterpartei;Mieterpartei / Bündnis Berlin;MIETERPARTEI;;
Q1205119;Mittelstand;Deutscher Mittelstand;;;
Q499632;MLPD;Marxistisch-Leninistische Partei Deutschlands;M L P D;;
Q1214998;Mündige;Die Mündigen Bürger;MUENDIGE;;
Q491782;NATURGESETZ;Naturgesetz Partei;;;
;NEIN!;;;;
Q18333914;Neue Liberale;Neue Liberale – Die Sozialliberalen;;;
;Nichtwähler;;;;
Q156019;NPD;Nationaldemokratische Partei Deutschlands;N P D;;
Q294989;ÖDP;Ökologisch-Demokratische Partei;OE D P;ödp;
Q457217;Offensive D;Partei Rechtsstaatlicher Offensive;;;
Q2054243;PASS;Partei der Arbeitswilligen und Sozial Schwachen;;;
Q2058149;Patrioten;Patrioten für Deutschland;PATRIOTEN;;
Q487386;PBC;Partei Bibeltreuer Christen;;;
Q15839583;PdgD;Partei der guten Deutschen;;;
Q152554;PDS;Partei des Demokratischen Sozialismus;;;
Q706864;PDV;Partei der Vernunft;PARTEI DER VERNUNFT;;
Q13129;PIRATEN;Piratenpartei Deutschland;;;
Q2144383;PRG;Partei für RentenGerechtigkeit und Familie;;;
Q1021053;pro Deutschland;Bürgerbewegung pro Deutschland;;;
Q1710899;Pro DM;Pro Deutsche Mitte – Initiative Pro D-Mark;;;
Q2144386;RENTNER;Rentner Partei Deutschland;;;
Q269316;REP;Die Republikaner;;;
;RFP;Recht und Freiheit Partei;;;
Q1020832;RRP;Bündnis 21/RRP;;;
Q457217;Schill;Schill-Partei;;;
Q896251;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;BSA;PSG;
Q895651;SHLP;Schleswig-Holsteinische Landespartei;;;
;SOLIDARITAET;DEUTSCHE SOLIDARITÄT Union für Umwelt- und Lebensschutz;ÖKO-Union;;
Q1520751;SpAD;Spartakist-Arbeiterpartei Deutschlands;;;
Q49768;SPD;Sozialdemokratische Partei Deutschlands;S P D;;
Q161545;SSW;Südschleswigscher Wählerverband;;;
Q317143;STATT Partei;Statt Partei;;;
Q492561;Tierschutz;Tierschutzpartei;Die Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;
Q23951319;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;;;
Q2492232;UAP;Unabhängige Arbeiter-Partei;U A P;;
;Übrige;;UEBRIGE;;
Q2492228;UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie;;;
;Ungültige;;;;
;USD;Unabhängige Soziale Demokraten;U S D;;
Q2531902;V;Volksfront gegen Reaktion, Faschismus und Krieg;;;
Q31839237;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;;;
;VAA;Vereinigung der Arbeitskreise für Arbeitnehmerpolitik und Demokratie;;;
Q1217286;Violetten;Die Violetten;DIE VIOLETTEN;;
Q2514951;VL;Vereinigte Linke;;;
Q304015;Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung;Deutschland;;
Q1574032;VU;Vaterländische Union;;;
;Wahlberechtigte;;;;
;Wähler;;;;
;WGnD;Wählergemeinschaft für ein neutrales Deutschland;;;
Q157537;Zentrum;;ZENTRUM;;
